Source,Target,Type,Id,Label,timeset,Weight
89,4,Unidirected,272,,,38
90,1,Unidirected,273,,,63
90,2,Unidirected,274,,,29
90,4,Unidirected,275,,,10
90,3,Unidirected,276,,,14
91,2,Unidirected,277,,,59
91,1,Unidirected,278,,,142
91,3,Unidirected,279,,,33
91,4,Unidirected,280,,,50
92,2,Unidirected,281,,,4
92,1,Unidirected,282,,,3
93,1,Unidirected,283,,,102
93,2,Unidirected,284,,,61
93,3,Unidirected,285,,,43
93,4,Unidirected,286,,,45
94,1,Unidirected,287,,,17
94,2,Unidirected,288,,,3
94,4,Unidirected,289,,,3
94,3,Unidirected,290,,,5
95,1,Unidirected,291,,,17
95,3,Unidirected,292,,,4
95,2,Unidirected,293,,,8
95,4,Unidirected,294,,,6
96,1,Unidirected,295,,,2
96,2,Unidirected,296,,,3
97,1,Unidirected,297,,,8
97,2,Unidirected,298,,,2
98,1,Unidirected,299,,,184
98,2,Unidirected,300,,,83
98,3,Unidirected,301,,,58
98,4,Unidirected,302,,,60
99,1,Unidirected,303,,,6
99,4,Unidirected,304,,,9
99,2,Unidirected,305,,,2
99,3,Unidirected,306,,,2
100,1,Unidirected,307,,,65
100,3,Unidirected,308,,,15
100,2,Unidirected,309,,,19
100,4,Unidirected,310,,,14
101,1,Unidirected,311,,,110
101,2,Unidirected,312,,,31
101,3,Unidirected,313,,,12
101,4,Unidirected,314,,,15
102,1,Unidirected,315,,,77
102,2,Unidirected,316,,,31
102,3,Unidirected,317,,,13
102,4,Unidirected,318,,,8
103,1,Unidirected,319,,,12
103,3,Unidirected,320,,,4
103,2,Unidirected,321,,,6
103,4,Unidirected,322,,,6
104,1,Unidirected,323,,,8
105,1,Unidirected,324,,,531
105,3,Unidirected,325,,,324
105,2,Unidirected,326,,,283
105,4,Unidirected,327,,,476
106,1,Unidirected,328,,,15
106,2,Unidirected,329,,,7
106,4,Unidirected,330,,,2
106,3,Unidirected,331,,,3
107,1,Unidirected,332,,,7
107,4,Unidirected,333,,,2
108,1,Unidirected,334,,,478
108,2,Unidirected,335,,,141
108,3,Unidirected,336,,,99
108,4,Unidirected,337,,,97
109,1,Unidirected,338,,,24
109,2,Unidirected,339,,,4
109,3,Unidirected,340,,,3
109,4,Unidirected,341,,,2
110,1,Unidirected,342,,,3
111,4,Unidirected,343,,,19
111,1,Unidirected,344,,,74
111,2,Unidirected,345,,,22
111,3,Unidirected,346,,,13
112,2,Unidirected,347,,,2
113,4,Unidirected,348,,,2
114,1,Unidirected,349,,,320
114,4,Unidirected,350,,,55
114,2,Unidirected,351,,,124
114,3,Unidirected,352,,,80
115,1,Unidirected,353,,,85
115,2,Unidirected,354,,,29
115,4,Unidirected,355,,,11
115,3,Unidirected,356,,,12
116,1,Unidirected,357,,,164
116,2,Unidirected,358,,,66
116,3,Unidirected,359,,,42
116,4,Unidirected,360,,,20
117,1,Unidirected,361,,,10
117,2,Unidirected,362,,,5
117,3,Unidirected,363,,,3
118,1,Unidirected,364,,,6
118,3,Unidirected,365,,,2
119,2,Unidirected,366,,,19
119,1,Unidirected,367,,,53
119,3,Unidirected,368,,,9
119,4,Unidirected,369,,,14
120,2,Unidirected,370,,,6
120,1,Unidirected,371,,,5
120,3,Unidirected,372,,,2
120,4,Unidirected,373,,,3
121,1,Unidirected,374,,,69
121,2,Unidirected,375,,,20
121,3,Unidirected,376,,,11
121,4,Unidirected,377,,,13
122,1,Unidirected,378,,,14
122,3,Unidirected,379,,,7
122,2,Unidirected,380,,,11
122,4,Unidirected,381,,,7
123,1,Unidirected,382,,,5
123,3,Unidirected,383,,,3
123,4,Unidirected,384,,,3
123,2,Unidirected,385,,,3
124,3,Unidirected,386,,,50
124,1,Unidirected,387,,,174
124,2,Unidirected,388,,,90
124,4,Unidirected,389,,,36
125,1,Unidirected,390,,,38
125,3,Unidirected,391,,,10
125,4,Unidirected,392,,,21
125,2,Unidirected,393,,,8
126,1,Unidirected,394,,,15
126,2,Unidirected,395,,,5
126,3,Unidirected,396,,,5
126,4,Unidirected,397,,,5
127,1,Unidirected,398,,,6
127,3,Unidirected,399,,,2
127,4,Unidirected,400,,,4
128,1,Unidirected,401,,,3
129,2,Unidirected,402,,,60
129,1,Unidirected,403,,,124
129,3,Unidirected,404,,,60
129,4,Unidirected,405,,,37
130,1,Unidirected,406,,,230
130,2,Unidirected,407,,,54
130,3,Unidirected,408,,,26
130,4,Unidirected,409,,,14
131,1,Unidirected,410,,,4
131,2,Unidirected,411,,,2
132,1,Unidirected,412,,,871
132,3,Unidirected,413,,,162
132,2,Unidirected,414,,,320
132,4,Unidirected,415,,,101
133,1,Unidirected,416,,,48
133,2,Unidirected,417,,,24
133,3,Unidirected,418,,,20
133,4,Unidirected,419,,,42
134,1,Unidirected,420,,,57
134,3,Unidirected,421,,,7
134,2,Unidirected,422,,,16
135,1,Unidirected,423,,,5
135,2,Unidirected,424,,,2
136,1,Unidirected,425,,,3
137,1,Unidirected,426,,,52
137,2,Unidirected,427,,,14
137,3,Unidirected,428,,,12
137,4,Unidirected,429,,,6
138,1,Unidirected,430,,,50
138,3,Unidirected,431,,,11
138,2,Unidirected,432,,,27
138,4,Unidirected,433,,,14
139,1,Unidirected,434,,,19
139,3,Unidirected,435,,,4
139,2,Unidirected,436,,,10
139,4,Unidirected,437,,,3
140,1,Unidirected,438,,,2
141,1,Unidirected,439,,,236
141,2,Unidirected,440,,,68
141,3,Unidirected,441,,,25
141,4,Unidirected,442,,,8
142,1,Unidirected,443,,,7
142,2,Unidirected,444,,,3
142,3,Unidirected,445,,,2
143,2,Unidirected,446,,,2
144,1,Unidirected,447,,,66
144,2,Unidirected,448,,,20
144,3,Unidirected,449,,,23
144,4,Unidirected,450,,,17
145,1,Unidirected,451,,,3
145,2,Unidirected,452,,,2
146,1,Unidirected,453,,,35
146,3,Unidirected,454,,,5
146,2,Unidirected,455,,,4
146,4,Unidirected,456,,,8
147,1,Unidirected,457,,,6
148,3,Unidirected,458,,,8
148,1,Unidirected,459,,,18
148,2,Unidirected,460,,,10
148,4,Unidirected,461,,,4
149,1,Unidirected,462,,,43
149,2,Unidirected,463,,,15
149,3,Unidirected,464,,,10
149,4,Unidirected,465,,,3
150,1,Unidirected,466,,,94
150,2,Unidirected,467,,,24
150,4,Unidirected,468,,,16
150,3,Unidirected,469,,,18
151,1,Unidirected,470,,,60
151,2,Unidirected,471,,,13
151,4,Unidirected,472,,,11
151,3,Unidirected,473,,,9
152,1,Unidirected,474,,,18
152,2,Unidirected,475,,,5
152,3,Unidirected,476,,,3
152,4,Unidirected,477,,,4
153,1,Unidirected,478,,,9
153,2,Unidirected,479,,,5
154,1,Unidirected,480,,,7
155,1,Unidirected,481,,,6
155,2,Unidirected,482,,,4
155,3,Unidirected,483,,,2
155,4,Unidirected,484,,,2
156,1,Unidirected,485,,,3
156,2,Unidirected,486,,,2
157,1,Unidirected,487,,,2
158,2,Unidirected,488,,,12
158,3,Unidirected,489,,,2
158,1,Unidirected,490,,,12
159,2,Unidirected,491,,,11
159,1,Unidirected,492,,,19
159,3,Unidirected,493,,,7
159,4,Unidirected,494,,,5
160,1,Unidirected,495,,,149
160,2,Unidirected,496,,,61
160,3,Unidirected,497,,,61
160,4,Unidirected,498,,,79
161,1,Unidirected,499,,,201
161,3,Unidirected,500,,,102
161,4,Unidirected,501,,,94
161,2,Unidirected,502,,,124
162,1,Unidirected,503,,,8
162,3,Unidirected,504,,,4
162,2,Unidirected,505,,,5
163,1,Unidirected,506,,,22
163,2,Unidirected,507,,,14
163,3,Unidirected,508,,,13
163,4,Unidirected,509,,,17
164,1,Unidirected,510,,,427
164,3,Unidirected,511,,,56
164,2,Unidirected,512,,,110
164,4,Unidirected,513,,,65
165,1,Unidirected,514,,,224
165,2,Unidirected,515,,,89
165,3,Unidirected,516,,,40
165,4,Unidirected,517,,,18
166,1,Unidirected,518,,,2
167,1,Unidirected,519,,,5
168,1,Unidirected,520,,,44
168,2,Unidirected,521,,,21
168,3,Unidirected,522,,,11
168,4,Unidirected,523,,,15
169,1,Unidirected,524,,,6
169,3,Unidirected,525,,,2
169,4,Unidirected,526,,,5
170,1,Unidirected,527,,,31
170,2,Unidirected,528,,,8
170,3,Unidirected,529,,,5
170,4,Unidirected,530,,,3
171,1,Unidirected,531,,,11
171,3,Unidirected,532,,,4
172,1,Unidirected,533,,,84
172,2,Unidirected,534,,,32
172,3,Unidirected,535,,,16
172,4,Unidirected,536,,,10
173,1,Unidirected,537,,,10
173,2,Unidirected,538,,,4
173,3,Unidirected,539,,,2
174,1,Unidirected,540,,,133
174,3,Unidirected,541,,,27
174,2,Unidirected,542,,,50
174,4,Unidirected,543,,,28
175,1,Unidirected,544,,,23
175,2,Unidirected,545,,,5
176,1,Unidirected,546,,,4
177,2,Unidirected,547,,,73
177,1,Unidirected,548,,,116
177,4,Unidirected,549,,,52
177,3,Unidirected,550,,,56
178,2,Unidirected,551,,,13
178,1,Unidirected,552,,,51
178,3,Unidirected,553,,,12
178,4,Unidirected,554,,,4
179,1,Unidirected,555,,,39
179,2,Unidirected,556,,,12
179,3,Unidirected,557,,,12
179,4,Unidirected,558,,,32
180,1,Unidirected,559,,,89
180,3,Unidirected,560,,,15
180,2,Unidirected,561,,,33
180,4,Unidirected,562,,,16
181,1,Unidirected,563,,,8
181,4,Unidirected,564,,,4
181,2,Unidirected,565,,,6
181,3,Unidirected,566,,,4
182,1,Unidirected,567,,,10
182,2,Unidirected,568,,,7
182,3,Unidirected,569,,,5
183,4,Unidirected,570,,,10
183,2,Unidirected,571,,,14
183,3,Unidirected,572,,,9
183,1,Unidirected,573,,,25
184,1,Unidirected,574,,,13
184,2,Unidirected,575,,,4
185,3,Unidirected,576,,,3
185,2,Unidirected,577,,,8
185,1,Unidirected,578,,,25
186,1,Unidirected,579,,,3
187,3,Unidirected,580,,,16
187,1,Unidirected,581,,,101
187,2,Unidirected,582,,,39
187,4,Unidirected,583,,,15
188,1,Unidirected,584,,,2
188,2,Unidirected,585,,,2
189,2,Unidirected,586,,,11
189,1,Unidirected,587,,,42
189,3,Unidirected,588,,,8
189,4,Unidirected,589,,,6
190,2,Unidirected,590,,,59
190,1,Unidirected,591,,,159
190,4,Unidirected,592,,,22
190,3,Unidirected,593,,,25
191,4,Unidirected,594,,,2
192,4,Unidirected,595,,,2
193,1,Unidirected,596,,,6
193,2,Unidirected,597,,,5
193,4,Unidirected,598,,,2
194,1,Unidirected,599,,,163
194,2,Unidirected,600,,,98
194,4,Unidirected,601,,,99
194,3,Unidirected,602,,,69
195,1,Unidirected,603,,,12
195,2,Unidirected,604,,,8
195,3,Unidirected,605,,,9
195,4,Unidirected,606,,,6
196,1,Unidirected,607,,,1286
196,2,Unidirected,608,,,447
196,3,Unidirected,609,,,260
196,4,Unidirected,610,,,297
197,1,Unidirected,611,,,16
197,2,Unidirected,612,,,4
197,3,Unidirected,613,,,2
198,1,Unidirected,614,,,14
198,2,Unidirected,615,,,4
198,4,Unidirected,616,,,5
198,3,Unidirected,617,,,2
199,1,Unidirected,618,,,8
199,2,Unidirected,619,,,4
199,4,Unidirected,620,,,12
199,3,Unidirected,621,,,7
200,1,Unidirected,622,,,7
200,2,Unidirected,623,,,6
200,4,Unidirected,624,,,5
200,3,Unidirected,625,,,2
201,3,Unidirected,626,,,8
201,1,Unidirected,627,,,21
201,2,Unidirected,628,,,11
201,4,Unidirected,629,,,8
202,3,Unidirected,630,,,3
202,2,Unidirected,631,,,4
202,1,Unidirected,632,,,3
202,4,Unidirected,633,,,2
203,1,Unidirected,634,,,2
204,1,Unidirected,635,,,14
204,2,Unidirected,636,,,3
205,1,Unidirected,637,,,3
205,4,Unidirected,638,,,2
205,2,Unidirected,639,,,2
206,1,Unidirected,640,,,3
207,1,Unidirected,641,,,2
208,1,Unidirected,642,,,284
208,2,Unidirected,643,,,137
208,3,Unidirected,644,,,126
208,4,Unidirected,645,,,156
209,2,Unidirected,646,,,5
209,1,Unidirected,647,,,20
209,3,Unidirected,648,,,2
210,2,Unidirected,649,,,5
210,1,Unidirected,650,,,11
210,4,Unidirected,651,,,2
211,1,Unidirected,652,,,70
211,2,Unidirected,653,,,40
211,3,Unidirected,654,,,17
211,4,Unidirected,655,,,13
212,1,Unidirected,656,,,135
212,2,Unidirected,657,,,55
212,4,Unidirected,658,,,30
212,3,Unidirected,659,,,21
213,1,Unidirected,660,,,13
213,2,Unidirected,661,,,2
213,3,Unidirected,662,,,2
213,4,Unidirected,663,,,6
214,2,Unidirected,664,,,61
214,1,Unidirected,665,,,175
214,3,Unidirected,666,,,18
214,4,Unidirected,667,,,5
215,2,Unidirected,668,,,294
215,1,Unidirected,669,,,538
215,3,Unidirected,670,,,70
215,4,Unidirected,671,,,7
216,2,Unidirected,672,,,31
216,1,Unidirected,673,,,71
216,4,Unidirected,674,,,13
216,3,Unidirected,675,,,17
217,2,Unidirected,676,,,3
217,1,Unidirected,677,,,13
218,1,Unidirected,678,,,2
